Product Brand,Product Category,Price,Ordered Online,Paid Full Price,Year of Purchase
Apple,Phones,1000,Yes,Yes,2022
Samsung,Phones,800,Yes,Yes,2023
HP,Laptops,650,No,Yes,2022
Lenovo,Laptops,700,Yes,Yes,2023
Apple,Tablets,200,Yes,Yes,2022
Microsoft,Tablets,300,Yes,Yes,2023
LG,Monitors,400,Yes,Yes,2022
Dell,Monitors,350,Yes,Yes,2023
Sony,Phones,900,Yes,Yes,2023
Asus,Laptops,750,No,Yes,2022
Apple,Phones,1100,Yes,Yes,2023
Samsung,Phones,850,Yes,Yes,2022
HP,Laptops,600,Yes,Yes,2023
Lenovo,Laptops,680,No,Yes,2022
Apple,Tablets,250,Yes,Yes,2023
Microsoft,Tablets,320,Yes,Yes,2022
LG,Monitors,380,Yes,Yes,2023
Dell,Monitors,320,Yes,Yes,2022
Sony,Phones,920,Yes,Yes,2023
Asus,Laptops,700,Yes,Yes,2022
Apple,Phones,1050,Yes,Yes,2023
Samsung,Phones,820,Yes,Yes,2022
HP,Laptops,630,No,Yes,2023
Lenovo,Laptops,690,Yes,Yes,2022
Apple,Tablets,220,Yes,Yes,2023
Microsoft,Tablets,340,Yes,Yes,2022
LG,Monitors,420,Yes,Yes,2023
Dell,Monitors,370,Yes,Yes,2022
Sony,Phones,890,Yes,Yes,2023
Asus,Laptops,720,Yes,Yes,2022
Apple,Phones,1080,Yes,Yes,2023
Samsung,Phones,830,Yes,Yes,2022
HP,Laptops,660,Yes,Yes,2023
Lenovo,Laptops,710,No,Yes,2022
Apple,Tablets,240,Yes,Yes,2023
Microsoft,Tablets,310,Yes,Yes,2022
LG,Monitors,360,Yes,Yes,2023
Dell,Monitors,330,Yes,Yes,2022
Sony,Phones,880,Yes,Yes,2023
Asus,Laptops,780,Yes,Yes,2022
Apple,Phones,1030,Yes,Yes,2023
Samsung,Phones,860,Yes,Yes,2022
HP,Laptops,640,Yes,Yes,2023
Lenovo,Laptops,670,No,Yes,2022
Apple,Tablets,230,Yes,Yes,2023
Microsoft,Tablets,330,Yes,Yes,2022
LG,Monitors,390,Yes,Yes,2023
Dell,Monitors,340,Yes,Yes,2022